time,user,place,text
Sat Jan 01 18:22:53 +0000 2022,CraigGartland,"Utah, USA",We are 12 hours into the window! #NUFC https://t.co/yO1EFeBxV2
Sat Jan 01 18:22:53 +0000 2022,cardon_brian,"Carolina Beach, NC",@votemerlen @JohnWDean @DOJCrimDiv @USAO_CT @USAttorneys Just listened to the meeting and yeah there is a lot of work to be done but this is the system unfortunately we have to try and navigate. I\xe2\x80\x99ve always stood firmly on getting dark money out of politics and I believe that\xe2\x80\x99s exactly what happened with the Sackler family.
Sat Jan 01 18:22:54 +0000 2022,MSPCarGuy,"Vadnais Heights, MN",Could be a long day for the Hawkeyes.
Sat Jan 01 18:22:54 +0000 2022,samychri,"Philadelphia, PA",@neal_earley Capybara walking is his best
Sat Jan 01 18:22:54 +0000 2022,Drewseibert1,"Florida, USA","@ClintEastwo_ And to you sir, thank you for your amazing career."
Sat Jan 01 18:22:54 +0000 2022,evansinco,"Vail, CO",@AriDubLion Public payphones
Sat Jan 01 18:22:54 +0000 2022,FunTraderGirl,"Fruit Cove, FL","@DJ_dfrush @humblceo Elon said \xe2\x80\x9cI didn\xe2\x80\x99t do this for the $, the $ is a byproduct that allows me to create more.\xe2\x80\x9d\nBrian u say is wealthy already- so then why logically would he subject himself to this stress? Because he sees how packaging Web3 into a user friendly interface could improve lives.\n$HMBL"
Sat Jan 01 18:22:54 +0000 2022,W161610,"Enterprise, NV","@mindstatex Happy New Year, year of the Martini!"
Sat Jan 01 18:22:54 +0000 2022,AdolfMarshal,Namibia,@GTjimi Is that supposed to be a threat? \xf0\x9f\x91\x80
Sat Jan 01 18:22:54 +0000 2022,anson_ag,Shelburne Farms,First walk of 2022. @ShelburneFarms never disappoints. So mild for January 1. Feels like a storm brewing: https://t.co/zfLEVMWT6r https://t.co/DIQBfhGbw5
Sat Jan 01 18:22:54 +0000 2022,DonnyStewart19,"Arizona, USA","@DearAuntAbby Well, let's see"
Sat Jan 01 18:22:55 +0000 2022,t_y232,"West Bend, WI","@sean0to10k Absolutely, taking action is REQUIRED!!\n\nOnce you begin to take action tho, utilizing these other benefits can be life changing as well. But only after you take the initiative"
Sat Jan 01 18:22:55 +0000 2022,geo_walters,"Townsend, MA",@SQLRockstar Do at home tests get reported?  And many more are being tested
Sat Jan 01 18:22:55 +0000 2022,erinkunn,"New Orleans, LA",Bringing in the new year with people you love and that are there for you throughout the entire year is such an amazing feeling. I'm forever grateful for all my friends &amp; cheers to another year of memories.
Sat Jan 01 18:22:55 +0000 2022,dicecreamsammie,"Vancouver, British Columbia","HAPPY NEW YEAR #DND FAM! \xe2\x9c\xa8 spent it this year playing board games online, eating tons of snacks and failing once again to line-up the Thanos Snap at midnight \xe2\x9c\x8c\xf0\x9f\x8f\xbb Wouldnt have it any other way \xe2\x9c\xa8 https://t.co/1gjbIDelZM"
Sat Jan 01 18:22:55 +0000 2022,HiPeople_21,"Nebraska, USA",Press Review / HCSO: 2 people killed in two-vehicle crash on Barker Cypress | https://t.co/PJmsPDNvf5 - https://t.co/C0fnc10ZgD https://t.co/IrZiZDCF4N SignUp HiPeople https://t.co/URrmEFpodo
Sat Jan 01 18:22:55 +0000 2022,HimUpreti,"Sholinganallur, India","This year I\xe2\x80\x99ve taken the resolution of sharing one learning nugget per day from content I consume frequently such as books, podcasts, websites, conferences, etc. \n\nIt is loosely inspired by @nasdaily tbh. \n\nThe idea is to challenge myself to learn new stuff every single day."
Sat Jan 01 18:22:55 +0000 2022,DollFaceBeautii,"South Carolina, USA",My GPS got me in the countryyyyyyy
Sat Jan 01 18:22:55 +0000 2022,JenShady,"Valley Station, KY","@MarcWeinbergWX - Is Louisville, Jefferson county expected to get bad storms or towards Southern IN? We are trying to decide if it\xe2\x80\x99s safe to travel to IN or if we should wait."
Sat Jan 01 18:22:56 +0000 2022,NewsGuyGreg,"Orlando, FL","In the last week, Florida saw 298,455 new COVID cases, plus 162 Covid related deaths."
Sat Jan 01 18:22:56 +0000 2022,NewTomWhoDis,"East Los Angeles, CA",Happy new year turds https://t.co/gVW0KjKPhf
Sat Jan 01 18:22:56 +0000 2022,tominker1,"Elko, NV",Largest selection of new body jewelry and hand blown glass water pipes and pipes in gift certificates available. Studio in elko nv walk in welcome @ Custom Tattoo's &amp; Body Piercing's https://t.co/AMMut1kTuw
Sat Jan 01 18:22:56 +0000 2022,LindseyBomb,"Toronto, Ontario","Let\xe2\x80\x99s get into it, 2022! Be kind to yourself and each other. Work hard. Find some joy. #HappyNewYear"
Sat Jan 01 18:22:56 +0000 2022,VivecaCOrtiz,"Alafaya, FL",2 seconds into the Harry Potter Anni. Crying already
Sat Jan 01 18:22:56 +0000 2022,Lilzaddy2_0,"Philadelphia, PA",Happy new years \xf0\x9f\x97\xa3 https://t.co/ltIumw6D2Q
Sat Jan 01 18:22:56 +0000 2022,perrito666,"Arcachon, Francia","@lazypower Yes, dry is a good description, thank you."
Sat Jan 01 18:22:57 +0000 2022,HunterUlbright,"Youngstown, OH",@yogi_2019 I couldn\xe2\x80\x99t imagine \xf0\x9f\x98\x85
Sat Jan 01 18:22:57 +0000 2022,univerky,"Paducah, KY",WHIITTEEEE
Sat Jan 01 18:22:57 +0000 2022,vinniravel,"Sorriso, Brasil",feliz 2022 bitchessssssss \xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8 https://t.co/bYETb0Q6SG
Sat Jan 01 18:22:57 +0000 2022,GRLitman,"St Louis Park, MN","@quick13 @mnwild I don\xe2\x80\x99t understand playing at night. Worse temps and up against the 2nd half of the Rose Bowl, which always does well in the ratings."
Sat Jan 01 18:22:57 +0000 2022,Britt_713,"Missouri City, TX","Definitely gotta go through and delete old pictures today. 11,000 pictures is ridiculous."
Sat Jan 01 18:22:57 +0000 2022,jotty777,"Wheeling, IL",@TangTheRabbit You know next year is gonna be your year.
Sat Jan 01 18:22:57 +0000 2022,LlanaVanessa,"Waterloo, Ontario",Dec.31 info about \xe2\x80\x9chigh risk\xe2\x80\x9d people eligible for PCR testing in Ontario: MOE website) \xe2\x80\x9cSymptomatic elementary and secondary students and education staff who have received a PCR self-collection kit through their school.\xe2\x80\x9d Thoughts? #onpoli #ONTEDU
Sat Jan 01 18:22:57 +0000 2022,beryle_otieno,"Nairobi, Kenya","Waah am so sleepy ,see you tomorrow"
Sat Jan 01 18:22:57 +0000 2022,chelfish74,"Omaha, NE",#UIBUSCH Let's go Hawks!! \xf0\x9f\x92\x9b\xf0\x9f\x96\xa4 https://t.co/BUih5H8tbk
